v1,v2
예,yes
네,yes
그래,yes
좋아,yes
좋습니다.,yes
알겠어,yes
그러자,yes
오케이,yes
알았어,yes
알겠습니다.,yes
그렇게 하자,yes
그럴까,yes
알았습니다,yes
좋아요,yes
그렇게 합시다,yes
시작하자,yes
말해줘,yes
알려줘,yes
굿,yes
오키도키,yes
알겠습니다,yes
그럼,yes
시작,yes
승인,yes
시작해줄래,yes
굿굿,yes
부탁해,yes
얘기 들어줘,yes
지금부터야,yes
오케,yes
알았다고,yes
당연하지,yes
구래,yes
그렇게 해주세요,yes
좋은데,yes
빨리 시작하자,yes
빨리해,yes
예쓰,yes
알았어 시작하자,yes
빨리 시작해줘,yes
그럼 이제부터 말할 수 있는거지?,yes
오케이 시작합시다,yes
오키 좋아,yes
알았어 챗봇,yes
알겠어 챗봇,yes
당연히,yes
오케이 시작,yes
시작해줘,yes
좋아요,yes
정말 좋아,yes
이제야 시작하는거야,yes
좋아 해보자,yes
알았어 한번 해보자,yes
시작해요,yes
알았어 바로 시작할까,yes
알겠습니다 시작해주세요,yes
오케이 승인할게,yes
시작해,yes
바로 시작해,yes
너무 좋아요,yes
빨리 말해주세요,yes
보여줘,yes
말해줘,yes
알려줘,yes
알려주세요,yes
바로 알려주세요,yes
시작해줄래요,yes
빨리 시작해줄래요,yes
시작해줘 어서,yes
이제부터 내가 말할게,yes
진행시켜,yes
빨리 진행해줘,yes
진행해주세요,yes
챗봇아 진행해줄래,yes
알았어 진행,yes
오케이 승인할게,yes
그럼 당연하지,yes
정말 좋아요,yes
시작해볼까,yes
고고,yes
바로 고고,yes
오늘 하자,yes
지금 시작할게,yes
말해봐,yes
일단 시작해보지,yes
도전할게,yes
일단 진행해줄래,yes
말해,yes
당장 말해,yes
한번 해볼까,yes
오케바리,yes
알겠다구,yes
알았다구,yes
챗봇 좋아,yes
ok,yes
오케이 그럼 말한다,yes
내가 말할 거야,yes
얍,yes
알았어 챗봇아 시작해줘,yes
빨리 진행,yes
진행 좀 빨리,yes
시작 좀 빨리,yes
싫어,no
아니,no
모르겠어,no
안할래,no
아닙니다,no
노,no
별로야,no
싫은데,no
거절,no
안해,no
다시 말해줘,no
한번 더 말해줘,no
나중에,no
안하고 싶어,no
몰라,no
그러지 말자,no
하지마,no
말하기 싫어,no
보기 싫어,no
안 할래,no
하고 싶지 않아,no
전혀 하고 싶지 않아,no
전혀,no
더이상 안 하고 싶어,no
말 안 하고 싶어,no
너랑 말 안 할래,no
조금 별로야,no
포기할래,no
챗봇아 미안한데 그만 할래,no
그만두겠어,no
그만 하고 싶어,no
그냥 하지 말자,no
다음에,no
그냥 다음에 할래,no
나중에 할게,no
너무 하기 싫어,no
싫증났어,no
그만해 나 너무 무서워,no
그만해,no
하지 말래,no
더 이상 말하지 마,no
하지 말아줘,no
노노,no
다음에 할까,no
챗봇아 조용히 해,no
진행하지 말아줘,no
관심 없으니까 그만 해,no
관심 없어,no
관심없어,no
노답,no
노관심,no
놉,no
하고 싶지 않아,no
다 나가줘,no
닥쳐,no
제발 입 다물어 줄래,no
오늘은 안할래,no
내일 할게,no
바빠서 시간이 없어,no
싫어싫어,no
시간 있을 때 하자,no
지금은 시간 애매하니까 나중에 하자,no
지금은 싫어,no
말하지마,no
아무 말도 하지마,no
안 궁금해,no
안물안궁,no
절대 안해,no
너랑 말하기 싫어,no
답답해서 안 할래,no
다들 그만해 나 너무 무서워,no
너무 지쳤어,no
질린다,no
하고 싶지 않은걸,no
하고 싶지 않아,no
그냥 안하겠습니다,no
안할거야,no
나중에 다시 접속할게,no
내일 보자,no
내일봐,no
내일 시간 있으니까 내일 하자,no
시간 빠듯해서 못하겠어,no
정말 하기 싫은걸,no
챗봇아 오늘은 하기 싫어,no
챗봇 멈춰,no
멈춰,no
멈춰줘,no
싫으니까 그만해 챗봇,no
챗봇아 조용히 해줄래,no
챗봇아 꺼져,no
꺼져,no
너랑 말하고 싶지 않아,no
너랑 말하고 싶지 않으니까 그냥 가줘,no
제발 그만해 챗봇,no
싫은데요,no
거절하겠습니다,no
거절합니다,no
안 알려줘도 돼,no
하지 않아도 돼,no
안해도 돼,no
안해도 되,no
안 알려줘도 되,no
그만하자 제발,no
